title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
Greg Hildebrandt's Favorite Fairy Tales,Greg Hildebrandt,print,owned,,,,0,shelf-photo,
Peachtree Creek,Kaufman,print,owned,,,,0,shelf-photo,
Broken Horses,Brandi Carlile,print,owned,,,,0,shelf-photo,
Where We Want to Live,Ryan Gravel,print,owned,,,,0,shelf-photo,
A Call to Action,Jimmy Carter,print,owned,,,,0,shelf-photo,
Historia del Peru 2,Antonio Guevara Espinoza,print,owned,,,,0,shelf-photo,
Leadership Fitness,Rice,print,owned,,,,0,shelf-photo,
Latin American Philosophy,"Nuccetelli, Seay",print,owned,,,,0,shelf-photo,
Predicting the Penis,"Anne Louis, Joyce Bandler",print,owned,,,,0,shelf-photo,
Haya de la Torre y el APRA,Luis Alberto Sanchez,print,owned,,,,0,shelf-photo,
Facts and Forms,E.T. Rob,print,owned,,,,0,shelf-photo,
Introduction to Botany,Bergen and Caldwell,print,owned,,,,0,shelf-photo,
Paddling My Own Canoe,Audrey Sutherland,print,owned,,,,0,shelf-photo,
The Real Valkyrie,Nancy Marie Brown,print,owned,,,,0,shelf-photo,
On Island Time: A Traveler's Atlas,Chandler O'Leary,print,owned,,,,0,shelf-photo,
